
=== Summary by Concert Day ===
Day   | Mean     | Std      | CV%      | Min    | P25    | Median   | P75    | P90    | P95    | Max
-----------------------------------------------------------------------------------------------
0     | 0.0      | 0.0      | 0.0      | 0.0    | 0.0    | 0.0      | 0.0    | 0.0    | 0.0    | 0.0
5     | 0.1      | 0.5      | 49.8     | 0.0    | 0.0    | 0.0      | 0.0    | 0.0    | 1.0    | 3.0
10    | 0.4      | 1.2      | 124.0    | 0.0    | 0.0    | 0.0      | 0.0    | 1.1    | 3.0    | 8.0
15    | 1.7      | 2.7      | 158.9    | 0.0    | 0.0    | 0.5      | 2.2    | 5.0    | 6.0    | 17.0
20    | 4.6      | 4.8      | 105.1    | 0.0    | 0.0    | 3.0      | 7.0    | 12.1   | 14.0   | 19.0
25    | 12.1     | 8.7      | 72.1     | 0.0    | 6.0    | 11.0     | 18.0   | 21.1   | 29.0   | 46.0
30    | 31.0     | 17.0     | 54.8     | 1.0    | 19.8   | 29.5     | 40.0   | 52.0   | 62.1   | 108.0
35    | 73.7     | 22.0     | 29.8     | 28.0   | 59.8   | 73.5     | 89.0   | 100.2  | 113.0  | 135.0
40    | 141.0    | 34.4     | 24.4     | 57.0   | 121.8  | 143.0    | 165.2  | 186.1  | 191.0  | 200.0
45    | 180.4    | 19.5     | 10.8     | 82.0   | 174.0  | 182.0    | 192.0  | 202.0  | 206.0  | 220.0
50    | 136.2    | 34.9     | 25.7     | 56.0   | 110.2  | 141.0    | 162.2  | 177.0  | 188.2  | 204.0
55    | 71.4     | 26.9     | 37.7     | 28.0   | 50.0   | 67.5     | 88.5   | 110.2  | 125.0  | 132.0
60    | 31.0     | 15.4     | 49.6     | 10.0   | 20.0   | 26.0     | 37.2   | 51.1   | 59.0   | 105.0
65    | 11.9     | 7.5      | 62.6     | 1.0    | 7.0    | 10.0     | 15.0   | 21.0   | 27.0   | 48.0
70    | 4.8      | 3.2      | 66.4     | 0.0    | 3.0    | 4.0      | 6.2    | 9.0    | 10.0   | 16.0
75    | 2.2      | 1.7      | 75.1     | 0.0    | 1.0    | 2.0      | 3.0    | 4.0    | 5.0    | 8.0
80    | 1.7      | 1.5      | 86.6     | 0.0    | 0.8    | 2.0      | 2.0    | 4.0    | 4.0    | 7.0
85    | 0.9      | 1.0      | 99.8     | 0.0    | 0.0    | 1.0      | 2.0    | 2.0    | 3.0    | 4.0
90    | 0.5      | 0.8      | 77.2     | 0.0    | 0.0    | 0.0      | 1.0    | 2.0    | 2.0    | 3.0
95    | 0.3      | 0.6      | 60.4     | 0.0    | 0.0    | 0.0      | 0.0    | 1.0    | 1.0    | 3.0
100   | 0.2      | 0.4      | 44.6     | 0.0    | 0.0    | 0.0      | 0.0    | 1.0    | 1.0    | 2.0
