"age.group","age.group.contact","contacts"
"[0,5)","[0,5)",0.199894034409127
"[5,10)","[0,5)",0.190287166504964
"[10,15)","[0,5)",0.0807786971771178
"[15,20)","[0,5)",0.0417615974134792
"[20,25)","[0,5)",0.0428590214604804
"[25,30)","[0,5)",0.139714212595581
"[30,35)","[0,5)",0.105583001880708
"[35,40)","[0,5)",0.155555757148676
"[40,45)","[0,5)",0.130852808933164
"[45,50)","[0,5)",0.0148571144149902
"[50,55)","[0,5)",0.0142929038834372
"[55,60)","[0,5)",0.013688941134194
"[60,65)","[0,5)",0.0138705928971127
"[65,70)","[0,5)",0.0265241967636777
"[70,75)","[0,5)",0.0175575373936039
"[75,80)","[0,5)",0.0089637637596841
"80+","[0,5)",0.00116977059166854
"[0,5)","[5,10)",0.179027328117554
"[5,10)","[5,10)",0.487051483605231
"[10,15)","[5,10)",0.182996330609228
"[15,20)","[5,10)",0.0388681254682825
"[20,25)","[5,10)",0.0398654521760891
"[25,30)","[5,10)",0.0783055778637151
"[30,35)","[5,10)",0.059088867390321
"[35,40)","[5,10)",0.135712069654075
"[40,45)","[5,10)",0.113916991228043
"[45,50)","[5,10)",0.0643620248057225
"[50,55)","[5,10)",0.039395095474598
"[55,60)","[5,10)",0.0106834271886586
"[60,65)","[5,10)",0.0134918014205179
"[65,70)","[5,10)",0.0198490593275892
"[70,75)","[5,10)",0.0160948258503373
"[75,80)","[5,10)",0.0194694915766632
"80+","[5,10)",0
"[0,5)","[10,15)",0.0755082294385115
"[5,10)","[10,15)",0.181815118330764
"[10,15)","[10,15)",0.250763180756083
"[15,20)","[10,15)",0.109353689186842
"[20,25)","[10,15)",0.0342754274248059
"[25,30)","[10,15)",0.0453964441352134
"[30,35)","[10,15)",0.0426244147829209
"[35,40)","[10,15)",0.122623256576793
"[40,45)","[10,15)",0.0921736434435846
"[45,50)","[10,15)",0.100790769528567
"[50,55)","[10,15)",0.064533472804357
"[55,60)","[10,15)",0.023711696707971
"[60,65)","[10,15)",0.0198965967628606
"[65,70)","[10,15)",0.0174572800260776
"[70,75)","[10,15)",0.0102980894372504
"[75,80)","[10,15)",0.00790809252791255
"80+","[10,15)",0.0104394719003213
"[0,5)","[15,20)",0.0415282670162756
"[5,10)","[15,20)",0.041081895259166
"[10,15)","[15,20)",0.116332939675721
"[15,20)","[15,20)",0.280630115066667
"[20,25)","[15,20)",0.115332874496466
"[25,30)","[15,20)",0.0279235136624015
"[30,35)","[15,20)",0.0187691426850396
"[35,40)","[15,20)",0.0714149725051235
"[40,45)","[15,20)",0.0488064875359415
"[45,50)","[15,20)",0.13004525999935
"[50,55)","[15,20)",0.11473239763898
"[55,60)","[15,20)",0.0595262870739509
"[60,65)","[15,20)",0.0507959237010987
"[65,70)","[15,20)",0.0240320860276347
"[70,75)","[15,20)",0.00456368399661948
"[75,80)","[15,20)",0.00214167944242182
"80+","[15,20)",0.0171731979964408
"[0,5)","[20,25)",0.0498596556166703
"[5,10)","[20,25)",0.0492939802674308
"[10,15)","[20,25)",0.0426572113043773
"[15,20)","[20,25)",0.134925312845292
"[20,25)","[20,25)",0.33848928741365
"[25,30)","[20,25)",0.0785666913777864
"[30,35)","[20,25)",0.0292926311253082
"[35,40)","[20,25)",0.0262921603116306
"[40,45)","[20,25)",0.0282141632211444
"[45,50)","[20,25)",0.0812036685427653
"[50,55)","[20,25)",0.0835137269000527
"[55,60)","[20,25)",0.0682681796209621
"[60,65)","[20,25)",0.0417352693842272
"[65,70)","[20,25)",0.00955833715152198
"[70,75)","[20,25)",0.00206311735055315
"[75,80)","[20,25)",0.00350341214330837
"80+","[20,25)",0.00777047976539531
"[0,5)","[25,30)",0.178972084473706
"[5,10)","[25,30)",0.106617274624605
"[10,15)","[25,30)",0.0622112750872788
"[15,20)","[25,30)",0.0359706319965435
"[20,25)","[25,30)",0.0865119597022342
"[25,30)","[25,30)",0.149154609039054
"[30,35)","[25,30)",0.134754344845509
"[35,40)","[25,30)",0.0223695231957272
"[40,45)","[25,30)",0.0110948690316213
"[45,50)","[25,30)",0.032545160703046
"[50,55)","[25,30)",0.0387592145823458
"[55,60)","[25,30)",0.0633168207615544
"[60,65)","[25,30)",0.0630728559451015
"[65,70)","[25,30)",0.037096065270475
"[70,75)","[25,30)",0.0282815189899419
"[75,80)","[25,30)",0.0116788918156824
"80+","[25,30)",0.030015951045054
"[0,5)","[30,35)",0.146478045784051
"[5,10)","[30,35)",0.087131334648343
"[10,15)","[30,35)",0.0632615048775907
"[15,20)","[30,35)",0.0261852220939469
"[20,25)","[30,35)",0.0349325179715133
"[25,30)","[30,35)",0.145940758761724
"[30,35)","[30,35)",0.1250612783532
"[35,40)","[30,35)",0.0564180348283934
"[40,45)","[30,35)",0.0362796418740454
"[45,50)","[30,35)",0.0166199726886355
"[50,55)","[30,35)",0.0244277165949592
"[55,60)","[30,35)",0.04689465492858
"[60,65)","[30,35)",0.0452254337846088
"[65,70)","[30,35)",0.0199051896286123
"[70,75)","[30,35)",0.0193415971599985
"[75,80)","[30,35)",0.0194929273505006
"80+","[30,35)",0.0187334598383818
"[0,5)","[35,40)",0.207697291614921
"[5,10)","[35,40)",0.192598715829489
"[10,15)","[35,40)",0.175154035463036
"[15,20)","[35,40)",0.0958886737182307
"[20,25)","[35,40)",0.0301761613099729
"[25,30)","[35,40)",0.0233161458173812
"[30,35)","[35,40)",0.054298041747885
"[35,40)","[35,40)",0.130388711233279
"[40,45)","[35,40)",0.122799043108615
"[45,50)","[35,40)",0.0554645209637339
"[50,55)","[35,40)",0.0406563392656917
"[55,60)","[35,40)",0.0374995911225569
"[60,65)","[35,40)",0.040159470827183
"[65,70)","[35,40)",0.0755851105167224
"[70,75)","[35,40)",0.054336067690211
"[75,80)","[35,40)",0.0333090286085147
"80+","[35,40)",0.0070673405636994
"[0,5)","[40,45)",0.162155736094209
"[5,10)","[40,45)",0.150047215775881
"[10,15)","[40,45)",0.122196447007879
"[15,20)","[40,45)",0.0608219183946288
"[20,25)","[40,45)",0.0300544937790849
"[25,30)","[40,45)",0.0107331385956928
"[30,35)","[40,45)",0.0324066191928223
"[35,40)","[40,45)",0.113972350387924
"[40,45)","[40,45)",0.0971427639295962
"[45,50)","[40,45)",0.0410687153505707
"[50,55)","[40,45)",0.0253876963176863
"[55,60)","[40,45)",0.0281241560686435
"[60,65)","[40,45)",0.0292703976318065
"[65,70)","[40,45)",0.0328147469850429
"[70,75)","[40,45)",0.0514694819485094
"[75,80)","[40,45)",0.0369106423568419
"80+","[40,45)",0.0130099110291654
"[0,5)","[45,50)",0.0197776942045399
"[5,10)","[45,50)",0.0910670057460767
"[10,15)","[45,50)",0.143537212680834
"[15,20)","[45,50)",0.174088070266204
"[20,25)","[45,50)",0.09292013163251
"[25,30)","[45,50)",0.0338207240823119
"[30,35)","[45,50)",0.0159475129623412
"[35,40)","[45,50)",0.0552982913025336
"[40,45)","[45,50)",0.0441167023038083
"[45,50)","[45,50)",0.122229313366665
"[50,55)","[45,50)",0.132344620236758
"[55,60)","[45,50)",0.0524906281693803
"[60,65)","[45,50)",0.0452317982170655
"[65,70)","[45,50)",0.0370592767243056
"[70,75)","[45,50)",0.0499540399855074
"[75,80)","[45,50)",0.0214436765112121
"80+","[45,50)",0.0366681859733036
"[0,5)","[50,55)",0.0242109670706028
"[5,10)","[50,55)",0.07092902504769
"[10,15)","[50,55)",0.116944353778591
"[15,20)","[50,55)",0.195438908001107
"[20,25)","[50,55)",0.121602500552829
"[25,30)","[50,55)",0.0512533105939451
"[30,35)","[50,55)",0.0298260680794465
"[35,40)","[50,55)",0.0515792700067721
"[40,45)","[50,55)",0.0347028938938824
"[45,50)","[50,55)",0.168405691928066
"[50,55)","[50,55)",0.139119993460181
"[55,60)","[50,55)",0.069906821541603
"[60,65)","[50,55)",0.0635213846211686
"[65,70)","[50,55)",0.0375407761873765
"[70,75)","[50,55)",0.0315349880329694
"[75,80)","[50,55)",0.0312702187420223
"80+","[50,55)",0.0356595910851165
"[0,5)","[55,60)",0.0232814485542677
"[5,10)","[55,60)",0.0193126071353635
"[10,15)","[55,60)",0.0431425023458819
"[15,20)","[55,60)",0.101808076205191
"[20,25)","[55,60)",0.0998048029581448
"[25,30)","[55,60)",0.0840648676681617
"[30,35)","[55,60)",0.0574890265740607
"[35,40)","[55,60)",0.0477663361386593
"[40,45)","[55,60)",0.0385984953638567
"[45,50)","[55,60)",0.0670626518470217
"[50,55)","[55,60)",0.0701888351609668
"[55,60)","[55,60)",0.177436725074286
"[60,65)","[55,60)",0.195661545730721
"[65,70)","[55,60)",0.0923243918347135
"[70,75)","[55,60)",0.0566426181003599
"[75,80)","[55,60)",0.0286956907924419
"80+","[55,60)",0.0222764974988504
"[0,5)","[60,65)",0.0197754346765162
"[5,10)","[60,65)",0.0204451886654736
"[10,15)","[60,65)",0.0303467627232878
"[15,20)","[60,65)",0.072827125617099
"[20,25)","[60,65)",0.0511478297289091
"[25,30)","[60,65)",0.0701986565090078
"[30,35)","[60,65)",0.0464766933888797
"[35,40)","[60,65)",0.0428819227659916
"[40,45)","[60,65)",0.0336752143711167
"[45,50)","[60,65)",0.0484432951922085
"[50,55)","[60,65)",0.0534637362094297
"[55,60)","[60,65)",0.164019827481929
"[60,65)","[60,65)",0.173019123480997
"[65,70)","[60,65)",0.105949504885051
"[70,75)","[60,65)",0.0592863935494547
"[75,80)","[60,65)",0.0231417892921905
"80+","[60,65)",0.0328277065356927
"[0,5)","[65,70)",0.0325346346443777
"[5,10)","[65,70)",0.0258781837370986
"[10,15)","[65,70)",0.0229077707954986
"[15,20)","[65,70)",0.0296434302313998
"[20,25)","[65,70)",0.0100781081643696
"[25,30)","[65,70)",0.0355211347593329
"[30,35)","[65,70)",0.0175991413993972
"[35,40)","[65,70)",0.0694376798660462
"[40,45)","[65,70)",0.0324805583983925
"[45,50)","[65,70)",0.0341475415665419
"[50,55)","[65,70)",0.0271841199003165
"[55,60)","[65,70)",0.0665855522802384
"[60,65)","[65,70)",0.0911531353910452
"[65,70)","[65,70)",0.263725802699596
"[70,75)","[65,70)",0.146848294439902
"[75,80)","[65,70)",0.0631185108654873
"80+","[65,70)",0.0244068923776394
"[0,5)","[70,75)",0.0162842558621431
"[5,10)","[70,75)",0.0158664864977703
"[10,15)","[70,75)",0.0102179443348938
